Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
500,Evan Mobley\mobleev01,PF,20,CLE,56,56,1908,6.3,12.5,.499,0.4,1.5,.260,5.9,11.1,.531,2.6,3.8,.670,2.1,6.5,8.6,2.7,0.8,1.8,2.1,2.3,15.5
501,Malik Monk\monkma01,SG,23,LAL,58,23,1591,6.2,13.5,.458,2.9,7.4,.390,3.3,6.1,.541,1.5,1.9,.767,0.6,3.8,4.4,3.4,1.1,0.5,1.8,2.2,16.7
502,Greg Monroe\monrogr01,C,31,TOT,10,0,151,5.7,10.5,.545,0.0,0.0,,5.7,10.5,.545,1.7,3.3,.500,5.5,6.9,12.4,3.3,1.4,1.7,2.1,3.8,13.1
503,Greg Monroe\monrogr01,C,31,MIN,3,0,63,5.1,8.0,.643,0.0,0.0,,5.1,8.0,.643,1.1,2.9,.400,2.9,9.1,12.0,6.3,1.1,2.3,2.3,4.0,11.4
504,Greg Monroe\monrogr01,C,31,WAS,2,0,18,8.0,16.0,.500,0.0,0.0,,8.0,16.0,.500,0.0,0.0,,14.0,6.0,20.0,2.0,2.0,2.0,4.0,4.0,16.0
505,Greg Monroe\monrogr01,C,31,MIL,5,0,70,5.7,11.3,.500,0.0,0.0,,5.7,11.3,.500,2.6,4.6,.556,5.7,5.1,10.8,1.0,1.5,1.0,1.5,3.6,13.9
506,Moses Moody\moodymo01,SG,19,GSW,40,7,439,5.1,11.9,.428,2.5,7.1,.356,2.5,4.8,.534,1.9,2.5,.767,1.1,3.6,4.8,1.2,0.3,0.5,0.9,2.1,14.6
507,Xavier Moon\moonxa01,SG,27,LAC,6,0,83,6.1,14.7,.412,1.3,4.3,.300,4.8,10.4,.458,0.9,1.3,.667,0.4,3.5,3.9,4.3,2.2,0.4,1.3,1.7,14.3
508,Matt Mooney\moonema01,SG,24,NYK,1,0,2,0.0,18.0,.000,0.0,18.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0
509,Ja Morant\moranja01,PG,22,MEM,52,52,1731,11.1,22.4,.494,1.7,5.0,.343,9.4,17.4,.538,6.0,7.8,.761,1.5,4.8,6.2,7.2,1.3,0.4,3.7,1.6,29.9
510,Juwan Morgan\morgaju01,PF,24,TOR,1,0,27,2.7,4.0,.667,1.3,2.7,.500,1.3,1.3,1.000,0.0,0.0,,2.7,2.7,5.3,1.3,0.0,0.0,0.0,4.0,6.7
511,Jaylen Morris\morrija01,SG,26,SAS,3,0,16,0.0,13.5,.000,0.0,4.5,.000,0.0,9.0,.000,4.5,9.0,.500,0.0,4.5,4.5,4.5,0.0,0.0,2.3,4.5,4.5
512,Marcus Morris\morrima03,PF,32,LAC,41,41,1210,6.9,16.0,.434,2.5,6.4,.391,4.4,9.6,.463,2.7,3.2,.860,0.6,4.9,5.5,2.5,0.7,0.3,1.6,2.9,19.1
513,Markieff Morris\morrima02,PF,32,MIA,10,0,187,6.2,13.5,.457,1.5,4.2,.364,4.6,9.2,.500,1.0,1.0,1.000,2.5,2.9,5.4,2.7,0.6,0.2,2.3,4.2,14.8
514,Monte Morris\morrimo01,PG,26,DEN,59,58,1766,6.1,12.8,.480,2.0,5.2,.385,4.1,7.5,.546,1.1,1.3,.875,0.4,3.1,3.6,5.2,0.9,0.2,1.2,1.4,15.4
515,Emmanuel Mudiay\mudiaem01,PG,25,SAC,2,0,11,0.0,6.5,.000,0.0,0.0,,0.0,6.5,.000,9.8,13.1,.750,0.0,0.0,0.0,13.1,3.3,0.0,3.3,3.3,9.8
516,Mychal Mulder\muldemy01,PG,27,ORL,15,2,195,3.7,12.4,.299,2.4,8.5,.283,1.3,3.9,.333,0.4,0.4,1.000,0.4,3.5,3.9,0.6,0.7,0.2,1.5,2.2,10.2
517,Ade Murkey\murkead01,SG,24,SAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,Trey Murphy III\murphtr02,SF,21,NOP,45,0,532,3.6,10.6,.340,2.6,7.6,.345,0.9,2.9,.326,1.6,1.9,.857,1.9,4.1,6.0,1.6,0.9,0.4,0.8,2.6,11.4
519,Dejounte Murray\murrade01,PG,25,SAS,57,57,1975,8.8,18.9,.465,1.3,4.2,.314,7.5,14.7,.507,2.4,3.2,.770,1.3,7.4,8.7,9.7,2.1,0.3,2.7,2.2,21.3
520,Mike Muscala\muscami01,C,30,OKC,43,0,592,6.9,15.1,.456,4.3,9.9,.429,2.6,5.2,.506,2.9,3.5,.842,1.3,6.6,7.8,1.3,1.1,1.6,0.9,3.5,20.9
521,Svi Mykhailiuk\mykhasv01,SF,24,TOR,49,5,691,4.6,11.6,.396,2.0,6.5,.304,2.6,5.1,.515,1.5,1.8,.853,1.0,3.8,4.8,2.2,1.3,0.2,1.5,2.7,12.7
522,Abdel Nader\naderab01,SF,28,PHO,14,0,145,3.0,8.7,.343,1.0,3.5,.286,2.0,5.2,.381,1.5,2.5,.600,1.0,5.7,6.7,1.7,2.0,1.0,2.7,5.0,8.4
